,date,latitude,longitude
0,2011-08-29,42.39162333,-88.08916333
1,2011-08-29,42.39134833,-88.08916333
2,2011-08-29,42.39102167,-88.08915667
3,2011-08-29,42.39063667,-88.08915833
4,2011-08-29,42.39041,-88.08885833
5,2011-08-29,42.390395,-88.088315
6,2011-08-29,42.39067333,-88.08800167
7,2011-08-29,42.39102667,-88.08800167
8,2011-08-29,42.39140333,-88.08800333
9,2011-08-29,42.39171833,-88.087995
10,2011-08-29,42.39203833,-88.08798833
11,2011-08-29,42.39241,-88.08807833
12,2011-08-29,42.3928,-88.08833167
13,2011-08-29,42.39325667,-88.08837
14,2011-08-29,42.3936,-88.08823167
15,2011-08-29,42.39320333,-88.08841667
16,2011-08-29,42.39279167,-88.08831167
17,2011-08-29,42.39247667,-88.08821
18,2011-08-29,42.392385,-88.08869667
19,2011-08-29,42.39209833,-88.08911333
20,2011-08-29,42.39218,-88.08949833
21,2011-08-29,42.39242833,-88.08979
22,2011-08-29,42.39272167,-88.09004167
23,2011-08-29,42.39295833,-88.0903
24,2011-08-29,42.39299,-88.090895
25,2011-08-29,42.39300167,-88.09161167
26,2011-08-29,42.39300833,-88.09201
27,2011-08-29,42.39302,-88.09254833
28,2011-08-29,42.39310333,-88.09318167
29,2011-08-29,42.39311833,-88.09373667
30,2011-08-29,42.39342333,-88.093895
31,2011-08-29,42.39374333,-88.094075
32,2011-08-29,42.394105,-88.09425
33,2011-08-29,42.39447833,-88.09422333
34,2011-08-29,42.39486,-88.09419833
35,2011-08-29,42.395085,-88.094515
36,2011-08-29,42.395095,-88.09502667
37,2011-08-29,42.39507833,-88.09552
38,2011-08-29,42.39535167,-88.09577167
39,2011-08-29,42.39569667,-88.09583333
40,2011-08-29,42.39598333,-88.09575667
41,2011-08-29,42.39521833,-88.095685
42,2011-08-29,42.39493167,-88.095555
43,2011-08-29,42.39461667,-88.09559667
44,2011-08-29,42.39429,-88.0956
45,2011-08-29,42.39395667,-88.095485
46,2011-08-29,42.39367333,-88.09537167
47,2011-08-29,42.39333167,-88.09522167
48,2011-08-29,42.39303667,-88.09514333
49,2011-08-29,42.39264667,-88.09513833
50,2011-08-29,42.39234833,-88.09514
51,2011-08-29,42.39223667,-88.095455
52,2011-08-29,42.39224667,-88.09598
53,2011-08-29,42.39246333,-88.096435
54,2011-08-29,42.39283833,-88.096445
55,2011-08-29,42.39319333,-88.09644667
56,2011-08-29,42.39348833,-88.09626667
57,2011-08-29,42.39360333,-88.09591667
58,2011-08-29,42.39367833,-88.09559333
59,2011-08-29,42.39252667,-88.09514833
60,2011-08-29,42.39219667,-88.09516333
61,2011-08-29,42.39186,-88.09514
62,2011-08-29,42.39151833,-88.09514333
63,2011-08-29,42.39129667,-88.09520333
64,2011-08-29,42.391275,-88.09560833
65,2011-08-29,42.39127,-88.096035
66,2011-08-29,42.39123833,-88.09646833
67,2011-08-29,42.39095167,-88.09643667
68,2011-08-29,42.39064167,-88.09644
69,2011-08-29,42.390335,-88.09644333
70,2011-08-29,42.39004833,-88.096435
71,2011-08-29,42.38987,-88.09625833
